date,Testing
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,3
3/1/20,3
3/2/20,0
3/3/20,0
3/4/20,0
3/5/20,3
3/6/20,3
3/7/20,0
3/8/20,0
3/9/20,0
3/10/20,2
3/11/20,3
3/12/20,6
3/13/20,8
3/14/20,14
3/15/20,12
3/16/20,13
3/17/20,9
3/18/20,26
3/19/20,7
3/20/20,16
3/21/20,12
3/22/20,12
3/23/20,11
3/24/20,13
3/25/20,16
3/26/20,12
3/27/20,9
3/28/20,7
3/29/20,12
3/30/20,15
3/31/20,13
4/1/20,10
4/2/20,13
4/3/20,8
4/4/20,10
4/5/20,9
4/6/20,9
4/7/20,14
4/8/20,9
4/9/20,11
4/10/20,5
4/11/20,8
4/12/20,5
4/13/20,13
4/14/20,15
4/15/20,12
4/16/20,16
4/17/20,22
4/18/20,8
4/19/20,9
4/20/20,10
4/21/20,16
4/22/20,13
4/23/20,13
4/24/20,8
4/25/20,15
4/26/20,13
4/27/20,13
4/28/20,13
4/29/20,18
4/30/20,16
5/1/20,16
5/2/20,9
5/3/20,14
5/4/20,8
5/5/20,10
5/6/20,14
5/7/20,19
5/8/20,18
5/9/20,8
5/10/20,15
5/11/20,14
5/12/20,32
5/13/20,13
5/14/20,16
5/15/20,16
5/16/20,7
5/17/20,14
5/18/20,14
5/19/20,23
5/20/20,13
5/21/20,19
5/22/20,14
5/23/20,8
5/24/20,10
5/25/20,8
5/26/20,21
5/27/20,21
5/28/20,16
5/29/20,20
5/30/20,17
5/31/20,22
6/1/20,20
6/2/20,23
6/3/20,24
6/4/20,14
6/5/20,27
6/6/20,19
6/7/20,8
6/8/20,32
6/9/20,28
6/10/20,34
6/11/20,28
6/12/20,33
6/13/20,23
6/14/20,14
6/15/20,38
6/16/20,31
6/17/20,43
6/18/20,52
6/19/20,39
6/20/20,18
6/21/20,33
6/22/20,68
6/23/20,55
6/24/20,56
6/25/20,68
6/26/20,76
6/27/20,52
6/28/20,60
6/29/20,81
6/30/20,100
7/1/20,79
7/2/20,66
7/3/20,63
7/4/20,36
7/5/20,39
7/6/20,86
7/7/20,95
7/8/20,83
7/9/20,86
7/10/20,69
7/11/20,55
7/12/20,54
7/13/20,96
7/14/20,72
7/15/20,57
7/16/20,69
7/17/20,55
7/18/20,42
7/19/20,41
7/20/20,73
7/21/20,54
7/22/20,53
7/23/20,41
7/24/20,51
7/25/20,51
7/26/20,39
7/27/20,49
7/28/20,57
7/29/20,51
7/30/20,35
7/31/20,48
8/1/20,44